Description	Target	Measure	E11	E10	E01
[DIA_SEMANA = QUARTA-FEIRA]	[AUTOMOVEL]	0.0	0.0	24929.0	0.0
[DESC_TEMPO = NAO INFORMADO  ], [DESCRICAO_SITUACAO = EM MOVIMENTO   ], [HORARIO = PICO 2], [DIA_SEMANA = SÁBADO]	[AUTOMOVEL]	0.0	0.0	986.0	0.0
[DESC_TIPO_ACIDENTE = COLISAO DE VEICULOS COM VITIMA                    ], [LOCAL_SINALIZADO = NÃO], [DESCRICAO_CATEGORIA = ], [DESCRICAO_SITUACAO = ], [DIA_SEMANA = QUINTA-FEIRA]	[AUTOMOVEL]	0.0	0.0	1897.0	0.0
[DESC_TEMPO = BOM            ], [DESCRICAO_CATEGORIA = PARTICULAR                    ], [DESCRICAO_ESPECIE = MOTOCICLETA                   ], [DIA_SEMANA = SEXTA-FEIRA], [AUTOMOVEL = 0]	[AUTOMOVEL]	0.0	0.0	506.0	0.0
[DESC_TIPO_ACIDENTE = ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ], [PAVIMENTO = NAO INFORMADO  ], [DESCRICAO_ESPECIE = AUTOMOVEL                     ], [HORARIO = MANHÃ], [DIA_SEMANA = TERÇA-FEIRA]	[AUTOMOVEL]	0.0	0.0	69.0	0.0
[PAVIMENTO = ASFALTO        ], [LOCAL_SINALIZADO = NÃO INFORMADO], [DIA_SEMANA = SEGUNDA-FEIRA]	[AUTOMOVEL]	0.0	0.0	1094.0	0.0
[DESCRICAO_CATEGORIA = ALUGUEL                       ], [DESCRICAO_ESPECIE = ONIBUS                        ], [DESCRICAO_SITUACAO = PARADO         ], [HORARIO = TARDE]	[AUTOMOVEL]	0.0	0.0	105.0	0.0
[DESC_TIPO_ACIDENTE = CHOQUE MECANICO COM VITIMA                        ], [DESCRICAO_CATEGORIA = NAO INFORMADO                 ], [HORARIO = NOITE]	[AUTOMOVEL]	0.0	0.0	84.0	0.0
[DESC_TEMPO = CHUVA          ], [DESCRICAO_ESPECIE = ], [HORARIO = MADRUGADA]	[AUTOMOVEL]	0.0	0.0	415.0	0.0
[DESC_TIPO_ACIDENTE = ABALROAMENTO COM VITIMA                           ], [DESC_TEMPO = NUBLADO        ], [DIA_SEMANA = DOMINGO]	[AUTOMOVEL]	0.0	0.0	77.0	0.0
[DESC_TIPO_ACIDENTE = CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ], [DESCRICAO_ESPECIE = NAO INFORMADO                 ]	[AUTOMOVEL]	0.0	0.0	54.0	0.0
[DESC_TIPO_ACIDENTE = QUEDA DE PESSOA DE VEICULO                        ], [DESCRICAO_SITUACAO = NÃO INFORMADO  ]	[AUTOMOVEL]	0.0	0.0	51.0	0.0
[LOCAL_SINALIZADO = SIM], [HORARIO = PICO 1]	[AUTOMOVEL]	0.0	0.0	75.0	0.0
[DESCRICAO_CATEGORIA = OFICIAL                       ]	[AUTOMOVEL]	0.0	0.0	445.0	0.0
[PAVIMENTO = CONCRETO       ]	[AUTOMOVEL]	0.0	0.0	323.0	0.0
