#iterations	mean Measure
1	0.0
501	0.0015519145101684085
1001	0.001243165358169622
1501	0.0014619370910320668
2001	0.0012788380859421985
2501	0.0011538270021125327
3001	0.0010960582411942278
3501	0.0010040551038055325
4001	9.195730520759811E-4
4501	8.718309387892929E-4
5001	8.170126988076525E-4
5501	8.02313579525362E-4
6001	7.816566051750538E-4
6501	7.461569704370552E-4
7001	7.228697668042949E-4
7501	6.921326930127729E-4
8001	6.708440856508946E-4
8001	6.708440856508946E-4
8501	6.540702424643137E-4
9001	6.367082053192292E-4
9501	6.311231819583078E-4
9501	6.311231819583078E-4
10001	6.351412053399325E-4
10501	6.344548388458472E-4
11001	6.33752881127927E-4
11501	6.246910539134792E-4
12001	6.241797778558453E-4
12501	6.157372748848908E-4
13001	6.194380048582998E-4
13501	6.163350596499396E-4
14001	6.234255908192285E-4
14501	6.151556350556577E-4
15001	6.387189242957149E-4
15501	6.393239289344738E-4
15501	6.393239289344738E-4
15501	6.393239289344738E-4
15501	6.393239289344738E-4
16001	6.460766348989292E-4
16501	6.477490935174817E-4
17001	6.496561739479133E-4
17501	6.577759952388602E-4
18001	6.528743014650088E-4
18501	6.541509090772557E-4
19001	6.52022417183696E-4
19501	6.494447237338757E-4
19501	6.494447237338757E-4
20001	6.560726496651106E-4
20501	6.577967617864544E-4
21001	6.549878820375253E-4
21501	6.525548239673036E-4
22001	6.541073611931894E-4
22501	6.532537812714393E-4
23001	6.563950493719548E-4
23501	6.523327593456818E-4
23501	6.523327593456818E-4
24001	6.500945135659845E-4
24001	6.500945135659845E-4
24501	6.487031623792754E-4
25001	6.43478678049156E-4
25501	6.380909119758386E-4
26001	6.341965518846197E-4
26501	6.313603478689061E-4
27001	6.284158210681547E-4
27501	6.23659265534235E-4
28001	6.211692771638295E-4
28501	6.201863916586796E-4
29001	6.157253085704575E-4
29501	6.113580729212239E-4
30001	6.127177005979746E-4
30501	6.145358702818112E-4
31001	6.161769929980371E-4
31501	6.139276886827566E-4
32001	6.164117153934104E-4
32501	6.169791763695081E-4
33001	6.175532385742966E-4
33501	6.175355315480933E-4
34001	6.161418859995473E-4
34501	6.152259727353727E-4
35001	6.138541486504299E-4
35501	6.144622767037098E-4
36001	6.163851213369891E-4
36501	6.169961299679118E-4
37001	6.205103852370515E-4
37501	6.183922304212702E-4
38001	6.195719604442075E-4
38501	6.231949894194335E-4
38501	6.231949894194335E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39001	6.2320240906599E-4
39501	6.244926594613611E-4
40001	6.28183888853716E-4
40501	6.27955264968835E-4
41001	6.262367466036852E-4
41501	6.262294413141132E-4
42001	6.276432322044019E-4
42501	6.299774183646717E-4
42501	6.299774183646717E-4
43001	6.341464065583291E-4
43001	6.341464065583291E-4
43501	6.380228516001081E-4
44001	6.433134261612387E-4
44501	6.457148218748585E-4
44501	6.457148218748585E-4
44501	6.457148218748585E-4
44501	6.457148218748585E-4
44501	6.457148218748585E-4
44501	6.457148218748585E-4
44501	6.457148218748585E-4
45001	6.477926430544061E-4
45501	6.519223455442953E-4
46001	6.542379587678803E-4
46501	6.590446263621339E-4
47001	6.611110790300588E-4
47001	6.611110790300588E-4
47501	6.612745659702137E-4
48001	6.636713478807783E-4
48501	6.671182917431209E-4
49001	6.703493827522127E-4
49001	6.703493827522127E-4
49501	6.720037633624751E-4
50001	6.734334707220958E-4
50501	6.777928969855054E-4
51001	6.791299133954884E-4
51501	6.826075582249604E-4
51501	6.826075582249604E-4
51501	6.826075582249604E-4
52001	6.844413041867309E-4
52501	6.850833379734844E-4
53001	6.884791877316694E-4
53001	6.884791877316694E-4
53001	6.884791877316694E-4
53501	6.882779759649972E-4
54001	6.90084814054547E-4
54501	6.919660449065609E-4
55001	6.938633390117841E-4
55501	6.949564070743132E-4
56001	6.96446439265505E-4
56501	6.999128871699247E-4
56501	6.999128871699247E-4
56501	6.999128871699247E-4
