Description	Target	Measure	E11	E10	E01
[CENTRO-SUL = 1]	[CENTRO-SUL]	0.14797321181388268	30147.0	0.0	0.0
[DESC_TIPO_ACIDENTE = ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ]	[CENTRO-SUL]	0.010898592630555898	5194.0	13493.0	24953.0
[DESC_TEMPO = NAO INFORMADO  ], [LOCAL_SINALIZADO = NÃO INFORMADO]	[CENTRO-SUL]	0.00830678353711718	14848.0	59695.0	15299.0
[PAVIMENTO = NAO INFORMADO  ], [HORARIO = TARDE]	[CENTRO-SUL]	0.005005420494373497	5806.0	21718.0	24341.0
[DESCRICAO_CATEGORIA = ALUGUEL                       ]	[CENTRO-SUL]	0.00460751214549147	2153.0	5510.0	27994.0
[DESCRICAO_ESPECIE = AUTOMOVEL                     ]	[CENTRO-SUL]	0.0027989800073481876	5440.0	22097.0	24707.0
[DIA_SEMANA = SEGUNDA-FEIRA]	[CENTRO-SUL]	0.002485490894920041	4860.0	19755.0	25287.0
[DESC_TIPO_ACIDENTE = QUEDA DE PESSOA DE VEICULO                        ], [DESCRICAO_CATEGORIA = ], [DESCRICAO_SITUACAO = ]	[CENTRO-SUL]	0.0023470835385535458	1058.0	2631.0	29089.0
[DESCRICAO_SITUACAO = EM MOVIMENTO   ], [HORARIO = MANHÃ]	[CENTRO-SUL]	0.0018082261419896685	1679.0	5947.0	28468.0
[DESC_TIPO_ACIDENTE = ABALROAMENTO COM VITIMA                           ], [DESCRICAO_ESPECIE = ], [HORARIO = MADRUGADA]	[CENTRO-SUL]	3.534832905154748E-4	433.0	1638.0	29714.0
[DESCRICAO_CATEGORIA = PARTICULAR                    ], [DESCRICAO_ESPECIE = MOTOCICLETA                   ], [DIA_SEMANA = TERÇA-FEIRA]	[CENTRO-SUL]	2.600541035272518E-4	596.0	2464.0	29551.0
[PAVIMENTO = ASFALTO        ], [LOCAL_SINALIZADO = SIM]	[CENTRO-SUL]	2.4276442381435736E-4	131.0	370.0	30016.0
[DESC_TEMPO = CHUVA          ], [HORARIO = PICO 2], [DIA_SEMANA = SEXTA-FEIRA]	[CENTRO-SUL]	8.550044917630365E-5	41.0	107.0	30106.0
[DESC_TIPO_ACIDENTE = OUTROS COM VITIMA                                 ], [LOCAL_SINALIZADO = NÃO], [DIA_SEMANA = QUINTA-FEIRA]	[CENTRO-SUL]	5.679432854087175E-5	40.0	129.0	30107.0
[DESC_TEMPO = BOM            ], [DESCRICAO_SITUACAO = PARADO         ]	[CENTRO-SUL]	2.7669364905776886E-5	42.0	165.0	30105.0
[DESCRICAO_ESPECIE = ONIBUS                        ], [HORARIO = NOITE], [DIA_SEMANA = SÁBADO], [CENTRO-SUL = 0]	[CENTRO-SUL]	0.0	0.0	78.0	30147.0
