Description	Target	Measure	E11	E10	E01
[HORARIO = PICO 2]	[PICO_TARDE]	0.16476070964223033	34731.0	0.0	0.0
[DESC_TIPO_ACIDENTE = ABALROAMENTO COM VITIMA                           ], [DESC_TEMPO = NAO INFORMADO  ], [PICO_TARDE = 1]	[PICO_TARDE]	0.05446956517555178	11482.0	0.0	23249.0
[PAVIMENTO = NAO INFORMADO  ]	[PICO_TARDE]	0.0033554508769282174	25312.0	93663.0	9419.0
[DESC_TIPO_ACIDENTE = ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ]	[PICO_TARDE]	0.003284453741223155	4436.0	14251.0	30295.0
[DIA_SEMANA = SEGUNDA-FEIRA]	[PICO_TARDE]	0.002240529276632595	5495.0	19120.0	29236.0
[DESCRICAO_CATEGORIA = ], [DESCRICAO_ESPECIE = ], [DIA_SEMANA = QUINTA-FEIRA]	[PICO_TARDE]	0.0012380006233081368	3578.0	12627.0	31153.0
[DESCRICAO_CATEGORIA = PARTICULAR                    ]	[PICO_TARDE]	0.0010284167603674481	10015.0	37299.0	24716.0
[LOCAL_SINALIZADO = NÃO], [DESCRICAO_SITUACAO = ], [DIA_SEMANA = QUARTA-FEIRA]	[PICO_TARDE]	0.0010147830314157725	2756.0	9677.0	31975.0
[DESCRICAO_ESPECIE = AUTOMOVEL                     ], [DESCRICAO_SITUACAO = PARADO         ]	[PICO_TARDE]	4.578292706261572E-4	593.0	1890.0	34138.0
[LOCAL_SINALIZADO = NÃO INFORMADO], [DESCRICAO_ESPECIE = BICICLETA                     ]	[PICO_TARDE]	2.5883977099597504E-4	224.0	645.0	34507.0
[DESC_TEMPO = BOM            ], [PAVIMENTO = ASFALTO        ], [DESCRICAO_ESPECIE = MOTOCICLETA                   ]	[PICO_TARDE]	2.393775114161573E-4	698.0	2465.0	34033.0
[DESC_TIPO_ACIDENTE = QUEDA DE PESSOA DE VEICULO                        ], [DESCRICAO_CATEGORIA = NAO INFORMADO                 ], [DESCRICAO_SITUACAO = EM MOVIMENTO   ]	[PICO_TARDE]	4.76482800456176E-5	35.0	95.0	34696.0
[DESC_TIPO_ACIDENTE = COLISAO DE VEICULOS COM VITIMA                    ], [HORARIO = MADRUGADA], [DIA_SEMANA = SÁBADO]	[PICO_TARDE]	0.0	0.0	312.0	34731.0
[DESCRICAO_ESPECIE = ONIBUS                        ], [HORARIO = MANHÃ], [DIA_SEMANA = TERÇA-FEIRA], [PICO_TARDE = 0]	[PICO_TARDE]	0.0	0.0	123.0	34731.0
[DESC_TEMPO = CHUVA          ]	[PICO_TARDE]	0.0	780.0	3110.0	33951.0
[DESC_TIPO_ACIDENTE = CHOQUE MECANICO COM VITIMA                        ], [DESCRICAO_CATEGORIA = ALUGUEL                       ], [DESCRICAO_ESPECIE = CAMINHAO                      ], [HORARIO = TARDE]	[PICO_TARDE]	0.0	0.0	61.0	34731.0
